Station Number,Sample Type,Sample ID,Sample Date,Statutory Class,Attained Class,Report,Final Determination
S-1,ALGAE,SA-1-2002,8/15/2002,--,--,Report,
S-1,ALGAE,SA-1-2002P (187),8/15/2002,--,--,,
S-1,ALGAE,SA-1-2002R (186),8/15/2002,B,No,,NA
S-1,ALGAE,SA-1-2004,7/28/2004,--,--,,
S-1,ALGAE,SA-1-2004R (300),7/28/2004,B,No,,C
S-1,ALGAE,SA-1-2005VB,7/28/2005,--,--,,
S-1,ALGAE,SA-1-2005VB2,8/24/2005,--,--,,
S-1,ALGAE,SA-1-2011,7/18/2011,--,--,,
S-1,ALGAE,SA-1-2011R (1085),7/18/2011,B,No,,C
S-1,ALGAE,SA-1-2017,7/25/2017,--,--,,
S-1,ALGAE,SA-1-2017R (1708),7/25/2017,--,--,,
S-1,MACROINVERTEBRATE,1,8/22/1983,B,Yes,Report,B
S-1,MACROINVERTEBRATE,331,9/11/1991,B,Yes,,A
S-1,MACROINVERTEBRATE,754,9/24/1998,B,Yes,,A
S-1,MACROINVERTEBRATE,953,8/17/1999,B,Yes,,A
S-1,MACROINVERTEBRATE,967,8/24/2000,B,Yes,,A
S-1,MACROINVERTEBRATE,1912,8/19/2004,B,Yes,,B
S-2,MACROINVERTEBRATE,2,8/24/1983,B,Yes,Report,B
S-2,MACROINVERTEBRATE,330,9/11/1991,B,Yes,,A
S-2,MACROINVERTEBRATE,943,8/13/1999,B,Yes,,A
S-2,MACROINVERTEBRATE,972,8/24/2000,B,Yes,,A
S-2,MACROINVERTEBRATE,1822,8/18/2004,B,Yes,,B
S-3,ALGAE,SA-3-2009,7/20/2009,--,--,Report,
S-3,ALGAE,SA-3-2009R (882),7/20/2009,B,No,,C
S-3,ALGAE,SA-3-2014,7/31/2014,--,--,,
S-3,ALGAE,SA-3-2014 (1419),7/31/2014,--,--,,
S-3,ALGAE,SA-3-2014R (1419),7/31/2014,B,Yes,,B
S-3,MACROINVERTEBRATE,3,8/23/1983,B,No,Report,C
S-3,MACROINVERTEBRATE,456,8/25/1994,B,Yes,,B
S-3,MACROINVERTEBRATE,775,8/17/1999,B,Yes,,B
S-3,MACROINVERTEBRATE,1842,8/17/2009,B,No,View,C
S-3,MACROINVERTEBRATE,2284,8/20/2014,B,Yes,View,B
S-4,MACROINVERTEBRATE,4,8/23/1983,A,Yes,Report,A
S-5,MACROINVERTEBRATE,6,8/24/1983,B,Yes,Report,B
S-6,MACROINVERTEBRATE,7,8/24/1983,C,Yes,Report,C
S-7,MACROINVERTEBRATE,8,8/24/1983,C,Yes,Report,A
S-8,ALGAE,SA-8-2004,7/20/2004,--,--,Report,
S-8,ALGAE,SA-8-2004R (284),7/20/2004,A,Yes,,A
S-8,ALGAE,SA-8-2009,7/21/2009,--,--,,
S-8,ALGAE,SA-8-2009R (893),7/21/2009,A,Yes,,A
S-8,MACROINVERTEBRATE,9,8/23/1983,A,Yes,Report,A
S-8,MACROINVERTEBRATE,168,8/29/1985,A,Yes,,A
S-8,MACROINVERTEBRATE,609,9/16/1994,A,Yes,,A
S-8,MACROINVERTEBRATE,764,8/12/1999,A,No,,B
S-8,MACROINVERTEBRATE,1847,8/18/2009,A,Yes,View,A
S-9,MACROINVERTEBRATE,10,8/23/1983,B,Yes,Report,B
S-9,MACROINVERTEBRATE,610,9/17/1994,B,Yes,,B
S-9,MACROINVERTEBRATE,765,8/12/1999,B,Yes,,B
S-10,MACROINVERTEBRATE,12,9/21/1983,B,Yes,Report,A
S-10,MACROINVERTEBRATE,463,8/24/1994,B,Yes,,B
S-11,MACROINVERTEBRATE,13,9/23/1983,B,Yes,Report,B
S-11,MACROINVERTEBRATE,464,8/25/1994,B,Yes,,B
S-11,MACROINVERTEBRATE,1386,8/17/2004,A,Yes,,A
S-12,MACROINVERTEBRATE,14,9/21/1983,B,Yes,Report,B
S-13,MACROINVERTEBRATE,15,8/29/1983,B,Yes,Report,B
S-13,MACROINVERTEBRATE,312,8/30/1991,B,No,,C
S-14,MACROINVERTEBRATE,16,8/29/1983,B,Yes,Report,B
S-14,MACROINVERTEBRATE,313,8/30/1991,B,Yes,,B
S-15,MACROINVERTEBRATE,17,8/31/1983,AA,Yes,Report,A
S-15,MACROINVERTEBRATE,615,8/20/1997,AA,Yes,,A
S-16,ALGAE,SA-16-2007,7/24/2007,--,--,Report,
S-16,ALGAE,SA-16-2007R (721),7/24/2007,A,Yes,,A
S-16,ALGAE,SA-16-2012,7/16/2012,--,--,,
S-16,ALGAE,SA-16-2012 (1152),7/16/2012,--,--,,
S-16,ALGAE,SA-16-2012R (1152),7/16/2012,A,Yes,,A
S-16,ALGAE,SA-16-2017,7/12/2017,--,--,,
S-16,ALGAE,SA-16-2017 (1681),7/12/2017,--,--,,
S-16,ALGAE,SA-16-2017R (1681),7/12/2017,--,--,,
S-16,MACROINVERTEBRATE,18,8/31/1983,A,Yes,Report,A
S-16,MACROINVERTEBRATE,616,8/20/1997,A,Yes,,A
S-16,MACROINVERTEBRATE,1669,8/21/2007,A,Yes,View,A
