FID,FID_1,Station_Nu,Station,Town,County,Major_Drai,Site_Type,Sample_Typ,Latitude,Longitude,PctImperv
0,2,S-69,NORTH BRANCH LITTLE RIVER - STATION 69,STANDISH,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.739245080000003,-70.524498530000002,0.0550000
1,3,S-70,NORTH BRANCH LITTLE RIVER - STATION 70,STANDISH,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.740078939999997,-70.521720889999997,0.0550000
2,110,S-655,MUDDY RIVER - STATION 655,NAPLES,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,ALGAE,43.949903319999997,-70.628226789999999,0.0050000
3,111,S-655,MUDDY RIVER - STATION 655,NAPLES,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.949903319999997,-70.628226789999999,0.0050000
4,169,W-008,SONGO POND INLET - W-008,BETHEL,OXFORD,SACO,WETLAND,WETLAND,44.376094719999998,-70.812590470000004,0.0080000
5,205,W-134,SONGO POND INLET (UPSTREAM) - W-134,BETHEL,OXFORD,SACO,WETLAND,WETLAND,44.376902729999998,-70.812433420000005,0.0080000
6,210,W-222,SONGO POND INLET - W-222,BETHEL,OXFORD,SACO,WETLAND,WETLAND,44.375391090000001,-70.811555780000006,0.0080000
7,126,S-759,PISCATAQUA RIVER - STATION 759,FALMOUTH,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,ALGAE,43.737639170000001,-70.292731689999997,0.1190000
8,127,S-759,PISCATAQUA RIVER - STATION 759,FALMOUTH,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.737639170000001,-70.292731689999997,0.1190000
9,130,S-787,PISCATAQUA RIVER - STATION 787,FALMOUTH,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,ALGAE,43.736088959999996,-70.293909920000004,0.1190000
10,119,S-722,CROOKED RIVER - STATION 722,ALBANY TWP,OXFORD,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,44.268946939999999,-70.785436079999997,0.0090000
11,178,W-017,MUD POND (ALBANY TWP) - W-017,ALBANY TWP,OXFORD,SACO,WETLAND,WETLAND,44.241320090000002,-70.779375630000004,0.0160000
12,15,S-158,CROOKED RIVER - STATION 158,WATERFORD,OXFORD,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,44.231694500000003,-70.761018519999993,0.0150000
13,115,S-673,CROOKED RIVER - STATION 673,WATERFORD,OXFORD,SACO,STREAM/RIVER BIOMONITORING,ALGAE,44.230805400000001,-70.753711980000006,0.0150000
14,174,W-013,NORTHWEST RIVER - W-013,SEBAGO,CUMBERLAND,SACO,WETLAND,WETLAND,43.900564950000003,-70.679711630000000,0.0070000
15,112,S-656,NORTHWEST RIVER - STATION 656,SEBAGO,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,ALGAE,43.862397700000002,-70.642222529999998,0.0300000
16,113,S-656,NORTHWEST RIVER - STATION 656,SEBAGO,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.862397700000002,-70.642222529999998,0.0300000
17,120,S-723,CROOKED RIVER - STATION 723,HARRISON,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,44.153144779999998,-70.602869080000005,0.0130000
18,13,S-156,ROYAL RIVER - STATION 156,NEW GLOUCESTER,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.993424990000001,-70.268411740000005,0.0240000
19,14,S-157,ROYAL RIVER - STATION 157,NEW GLOUCESTER,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.981186979999997,-70.265609370000007,0.0240000
20,27,S-237,CROOKED RIVER - STATION 237,NAPLES,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,ALGAE,43.998700999999997,-70.572092999999995,0.0320000
21,28,S-237,CROOKED RIVER - STATION 237,NAPLES,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.998700759999998,-70.572092859999998,0.0320000
22,163,W-002,UNNAMED TRIBUTARY TO ROYAL RIVER - W-002,NEW GLOUCESTER,CUMBERLAND,SACO,WETLAND,WETLAND,43.938346889999998,-70.267989850000006,0.0240000
23,22,S-225,ROYAL RIVER - STATION 225,NEW GLOUCESTER,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.922612999999998,-70.262411999999998,0.0320000
24,25,S-228,COLLYER BROOK - STATION 228,GRAY,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,ALGAE,43.891939839999999,-70.277628829999998,0.0320000
25,26,S-228,COLLYER BROOK - STATION 228,GRAY,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.891939839999999,-70.277628829999998,0.0320000
26,128,S-760,ROYAL RIVER - STATION 760,GRAY,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.900078100000002,-70.272606260000003,0.0320000
27,129,S-761,ROYAL RIVER - STATION 761,GRAY,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.899216600000003,-70.274076870000002,0.0320000
28,23,S-226,ROYAL RIVER - STATION 226,GRAY,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.886060880000002,-70.279652279999993,0.0290000
29,135,S-799,ROYAL RIVER - STATION 799,GRAY,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,ALGAE,43.890750250000004,-70.277130580000005,0.0290000
30,136,S-799,ROYAL RIVER - STATION 799,GRAY,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.890750250000004,-70.277130580000005,0.0290000
31,124,S-757,EAST BRANCH PISCATAQUA RIVER - STATION 757,FALMOUTH,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.760777019999999,-70.262119560000002,0.0520000
32,109,S-654,CROOKED RIVER - STATION 654,NAPLES,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.961431910000002,-70.567526639999997,0.0470000
33,20,S-223,PRESUMPSCOT RIVER - STATION 223,WINDHAM,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.829075910000000,-70.448285850000005,0.0550000
34,80,S-462,PRESUMPSCOT RIVER - STATION 462,STANDISH,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.831088100000002,-70.451124419999999,0.0550000
35,191,W-030,GRAY MEADOW (WIGGINS BROOK) - W-030,GRAY,CUMBERLAND,SACO,WETLAND,WETLAND,43.870026250000002,-70.322237259999994,0.0130000
36,62,S-394,PLEASANT RIVER (PRESUMPSCOT) - STATION 394,GRAY,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,ALGAE,43.864130770000003,-70.344451690000000,0.0450000
37,63,S-394,PLEASANT RIVER (PRESUMPSCOT) - STATION 394,GRAY,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.864130770000003,-70.344451690000000,0.0450000
38,216,W-261,THAYER BROOK - W-261,GRAY,CUMBERLAND,SACO,WETLAND,WETLAND,43.867295939999998,-70.348786709999999,0.0450000
39,31,S-242,ROYAL RIVER - STATION 242,YARMOUTH,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.800931640000002,-70.180002049999999,0.1870000
40,94,S-549,PLEASANT RIVER (PRESUMPSCOT) - STATION 549,WINDHAM,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,ALGAE,43.838156130000002,-70.384430289999997,0.0540000
41,12,S-155,PLEASANT RIVER (PRESUMPSCOT) - STATION 155,WINDHAM,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.786726840000000,-70.420644370000005,0.0650000
42,92,S-544,PLEASANT RIVER (PRESUMPSCOT) - STATION 544,WINDHAM,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,ALGAE,43.795274259999999,-70.418643399999993,0.0650000
43,93,S-548,PLEASANT RIVER (PRESUMPSCOT) - STATION 548,WINDHAM,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,ALGAE,43.805529129999996,-70.411187190000007,0.0650000
44,21,S-224,PRESUMPSCOT RIVER - STATION 224,WINDHAM,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.725609800000001,-70.417877880000006,0.1210000
