Station Number,Station,Town,County,Major Drainage,Site Type,Sample Type,Latitude,Longitude
S-1,MEDUXNEKEAG RIVER - STATION 1,HOULTON,AROOSTOOK,ST. JOHN,STREAM/RIVER BIOMONITORING,ALGAE,46.18118700,-67.80406700
S-1,MEDUXNEKEAG RIVER - STATION 1,HOULTON,AROOSTOOK,ST. JOHN,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,46.18118700,-67.80406700
S-2,SOUTH BRANCH MEDUXNEKEAG RIVER - STATION 2,HODGDON,AROOSTOOK,ST. JOHN,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,46.07557059,-67.86341725
S-3,PRESTILE STREAM - STATION 3,BLAINE,AROOSTOOK,ST. JOHN,STREAM/RIVER BIOMONITORING,ALGAE,46.49615080,-67.84557948
S-3,PRESTILE STREAM - STATION 3,BLAINE,AROOSTOOK,ST. JOHN,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,46.49615080,-67.84557948
S-4,PRESTILE STREAM - STATION 4,EASTON,AROOSTOOK,ST. JOHN,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,46.65038921,-67.91068171
S-5,AROOSTOOK RIVER - STATION 5,CARIBOU,AROOSTOOK,ST. JOHN,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,46.84726447,-68.00113752
S-6,AROOSTOOK RIVER - STATION 6,CARIBOU,AROOSTOOK,ST. JOHN,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,46.87115516,-67.98502552
S-7,AROOSTOOK RIVER - STATION 7,FORT FAIRFIELD,AROOSTOOK,ST. JOHN,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,46.77226390,-67.82724261
S-8,ST JOHN RIVER - STATION 8,FORT KENT,AROOSTOOK,ST. JOHN,STREAM/RIVER BIOMONITORING,ALGAE,47.24775558,-68.60531241
S-8,ST JOHN RIVER - STATION 8,FORT KENT,AROOSTOOK,ST. JOHN,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,47.24775558,-68.60531241
S-9,ST JOHN RIVER - STATION 9,FORT KENT,AROOSTOOK,ST. JOHN,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,47.27892877,-68.59004721
S-10,NORTH BRANCH PRESQUE ISLE STREAM - STATION 10,CHAPMAN,AROOSTOOK,ST. JOHN,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,46.64708981,-68.15884513
S-11,NORTH BRANCH PRESQUE ISLE STREAM - STATION 11,MAPLETON,AROOSTOOK,ST. JOHN,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,46.68836097,-68.14260492
S-12,LIMESTONE STREAM - STATION 12,LIMESTONE,AROOSTOOK,ST. JOHN,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,46.92330084,-67.83403049
S-13,TOGUS STREAM - STATION 13,AUGUSTA,KENNEBEC,KENNEBEC,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,44.27325477,-69.68568907
S-14,TOGUS STREAM - STATION 14,CHELSEA,KENNEBEC,KENNEBEC,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,44.24911555,-69.70331778
S-15,CARRABASSETT RIVER - STATION 15,KINGFIELD,FRANKLIN,KENNEBEC,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,44.98460211,-70.17065940
S-16,CARRABASSETT RIVER - STATION 16,KINGFIELD,FRANKLIN,KENNEBEC,STREAM/RIVER BIOMONITORING,ALGAE,44.95267866,-70.14752270
S-16,CARRABASSETT RIVER - STATION 16,KINGFIELD,FRANKLIN,KENNEBEC,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,44.95267866,-70.14752270
S-17,SANDY RIVER - STATION 17,PHILLIPS,FRANKLIN,KENNEBEC,STREAM/RIVER BIOMONITORING,ALGAE,44.85528366,-70.36202091
S-17,SANDY RIVER - STATION 17,PHILLIPS,FRANKLIN,KENNEBEC,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,44.85528366,-70.36202091
S-18,SANDY RIVER - STATION 18,AVON,FRANKLIN,KENNEBEC,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,44.82092703,-70.33056999
S-19,SANDY RIVER - STATION 19,FARMINGTON,FRANKLIN,KENNEBEC,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,44.64097646,-70.11817175
S-20,EAST BRANCH SEBASTICOOK RIVER - STATION 20,CORINNA,PENOBSCOT,KENNEBEC,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,44.91381317,-69.25657999
S-21,KENNEBEC RIVER - STATION 21,ANSON,SOMERSET,KENNEBEC,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,44.81255896,-69.89061323
S-22,KENNEBEC RIVER - STATION 22,MADISON,SOMERSET,KENNEBEC,STREAM/RIVER BIOMONITORING,ALGAE,44.75447494,-69.86853512
S-22,KENNEBEC RIVER - STATION 22,MADISON,SOMERSET,KENNEBEC,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,44.75447494,-69.86853512
S-23,KENNEBEC RIVER - STATION 23,SKOWHEGAN,SOMERSET,KENNEBEC,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,44.76950762,-69.70227332
S-24,KENNEBEC RIVER - STATION 24,FAIRFIELD,SOMERSET,KENNEBEC,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,44.63287169,-69.58627743
S-25,EAST BRANCH SEBASTICOOK RIVER - STATION 25,DEXTER,PENOBSCOT,KENNEBEC,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,45.02672710,-69.28949020
S-26,EAST BRANCH SEBASTICOOK RIVER - STATION 26,CORINNA,PENOBSCOT,KENNEBEC,STREAM/RIVER BIOMONITORING,ALGAE,44.98006022,-69.30226842
S-26,EAST BRANCH SEBASTICOOK RIVER - STATION 26,CORINNA,PENOBSCOT,KENNEBEC,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,44.98006022,-69.30226842
S-27,WEST BRANCH SEBASTICOOK RIVER - STATION 27,PITTSFIELD,SOMERSET,KENNEBEC,STREAM/RIVER BIOMONITORING,ALGAE,44.77690234,-69.36527116
S-27,WEST BRANCH SEBASTICOOK RIVER - STATION 27,PITTSFIELD,SOMERSET,KENNEBEC,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,44.77690234,-69.36527116
S-28,WEST BRANCH SEBASTICOOK RIVER - STATION 28,PALMYRA,SOMERSET,KENNEBEC,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,44.83144932,-69.40421437
S-29,KENNEBEC RIVER - STATION 29,AUGUSTA,KENNEBEC,KENNEBEC,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,44.32565830,-69.76954345
S-30,BOND BROOK - STATION 30,AUGUSTA,KENNEBEC,KENNEBEC,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,44.33750748,-69.80763561
S-31,BOND BROOK - STATION 31,AUGUSTA,KENNEBEC,KENNEBEC,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,44.32354093,-69.77605628
S-32,KENNEBEC RIVER - STATION 32,HALLOWELL,KENNEBEC,KENNEBEC,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,44.26951487,-69.78393373
S-33,WILSON STREAM - STATION 33,WILTON,FRANKLIN,KENNEBEC,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,44.58725470,-70.23093203
S-34,WILSON STREAM - STATION 34,WILTON,FRANKLIN,KENNEBEC,STREAM/RIVER BIOMONITORING,ALGAE,44.61178219,-70.17079081
S-34,WILSON STREAM - STATION 34,WILTON,FRANKLIN,KENNEBEC,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,44.61178219,-70.17079081
S-35,MESSALONSKEE STREAM - STATION 35,OAKLAND,KENNEBEC,KENNEBEC,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,44.54395615,-69.71338047
S-36,MESSALONSKEE STREAM - STATION 36,OAKLAND,KENNEBEC,KENNEBEC,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,44.56728892,-69.68504713
S-37,MOOSE RIVER - STATION 37,JACKMAN,SOMERSET,KENNEBEC,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,45.63337875,-70.26617880
S-38,MOOSE RIVER - STATION 38,JACKMAN,SOMERSET,KENNEBEC,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,45.63782312,-70.25617854
S-39,KENNEBEC RIVER - STATION 39,BINGHAM,SOMERSET,KENNEBEC,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,45.02922101,-69.86339171
S-40,KENNEBEC RIVER - STATION 40,BINGHAM,SOMERSET,KENNEBEC,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,45.03831656,-69.87118949
S-41,ANDROSCOGGIN RIVER - STATION 41,MEXICO,OXFORD,ANDROSCOGGIN,STREAM/RIVER BIOMONITORING,ALGAE,44.53210659,-70.47068726
S-41,ANDROSCOGGIN RIVER - STATION 41,MEXICO,OXFORD,ANDROSCOGGIN,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,44.53210659,-70.47068726
S-42,ANDROSCOGGIN RIVER - STATION 42,RUMFORD,OXFORD,ANDROSCOGGIN,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,44.49891312,-70.67380425
S-43,LITTLE ANDROSCOGGIN RIVER - STATION 43,PARIS,OXFORD,ANDROSCOGGIN,STREAM/RIVER BIOMONITORING,ALGAE,44.21197809,-70.51631824
S-43,LITTLE ANDROSCOGGIN RIVER - STATION 43,PARIS,OXFORD,ANDROSCOGGIN,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,44.21197809,-70.51631824
S-44,LITTLE ANDROSCOGGIN RIVER - STATION 44,WEST PARIS,OXFORD,ANDROSCOGGIN,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,44.28503952,-70.53616989
S-45,LITTLE ANDROSCOGGIN RIVER - STATION 45,OXFORD,OXFORD,ANDROSCOGGIN,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,44.18697573,-70.51990518
S-46,LITTLE ANDROSCOGGIN RIVER - STATION 46,NORWAY,OXFORD,ANDROSCOGGIN,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,44.20336535,-70.52601673
S-47,LIMESTONE STREAM - STATION 47,LIMESTONE,AROOSTOOK,ST. JOHN,STREAM/RIVER BIOMONITORING,ALGAE,46.88868226,-67.79868623
S-47,LIMESTONE STREAM - STATION 47,LIMESTONE,AROOSTOOK,ST. JOHN,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,46.88868226,-67.79868623
S-48,GOOSEFARE BROOK - STATION 48,SACO,YORK,SACO,STREAM/RIVER BIOMONITORING,ALGAE,44.26426800,-70.21740900
S-48,GOOSEFARE BROOK - STATION 48,SACO,YORK,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.53439717,-70.45226052
S-49,GOOSEFARE BROOK - STATION 49,SACO,YORK,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.52097030,-70.44196558
S-50,GOOSEFARE BROOK - STATION 50,SACO,YORK,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.51822054,-70.42796839
S-51,SALMON FALLS RIVER - STATION 51,BERWICK,YORK,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.27904355,-70.88263254
S-52,SALMON FALLS RIVER - STATION 52,BERWICK,YORK,SACO,STREAM/RIVER BIOMONITORING,ALGAE,43.25365939,-70.84200892
S-52,SALMON FALLS RIVER - STATION 52,BERWICK,YORK,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.25365939,-70.84200892
S-53,GREAT WORKS RIVER - STATION 53,NORTH BERWICK,YORK,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.30730521,-70.73672249
S-54,GREAT WORKS RIVER - STATION 54,NORTH BERWICK,YORK,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.30897495,-70.73616704
S-55,ANDROSCOGGIN RIVER - STATION 55,AUBURN,ANDROSCOGGIN,ANDROSCOGGIN,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,44.12652316,-70.20868472
S-56,ANDROSCOGGIN RIVER - STATION 56,LEWISTON,ANDROSCOGGIN,ANDROSCOGGIN,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,44.07295365,-70.20784784
S-57,ANDROSCOGGIN RIVER - STATION 57,LEWISTON,ANDROSCOGGIN,ANDROSCOGGIN,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,44.05062795,-70.19394273
S-58,ANDROSCOGGIN RIVER - STATION 58,BRUNSWICK,CUMBERLAND,ANDROSCOGGIN,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.95170677,-70.02272431
S-59,MEDOMAK RIVER - STATION 59,WALDOBORO,LINCOLN,MAINE COASTAL,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,44.13322592,-69.41402369
S-60,MEDOMAK RIVER - STATION 60,WALDOBORO,LINCOLN,MAINE COASTAL,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,44.11757728,-69.40004599
S-61,ANDROSCOGGIN RIVER - STATION 61,BRUNSWICK,CUMBERLAND,ANDROSCOGGIN,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.91202399,-69.93282693
S-62,PENOBSCOT RIVER - STATION 62,ORONO,PENOBSCOT,PENOBSCOT,STREAM/RIVER BIOMONITORING,ALGAE,44.88532645,-68.65742595
S-62,PENOBSCOT RIVER - STATION 62,ORONO,PENOBSCOT,PENOBSCOT,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,44.88532645,-68.65742595
S-63,MILLINOCKET STREAM - STATION 63,MILLINOCKET,PENOBSCOT,PENOBSCOT,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,45.64477298,-68.69947959
S-64,LITTLE ANDROSCOGGIN RIVER - STATION 64,AUBURN,ANDROSCOGGIN,ANDROSCOGGIN,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,44.06340875,-70.27338794
S-65,LITTLE ANDROSCOGGIN RIVER - STATION 65,AUBURN,ANDROSCOGGIN,ANDROSCOGGIN,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,44.06342036,-70.26022471
S-66,STROUDWATER RIVER - STATION 66,GORHAM,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.64478176,-70.40949580
S-67,STROUDWATER RIVER - STATION 67,GORHAM,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.64303547,-70.41192199
S-68,COOKS BROOK - STATION 68,WATERBORO,YORK,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.56897034,-70.68283473
S-69,NORTH BRANCH LITTLE RIVER - STATION 69,STANDISH,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.73924508,-70.52449853
S-70,NORTH BRANCH LITTLE RIVER - STATION 70,STANDISH,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.74007894,-70.52172089
S-71,PRESUMPSCOT RIVER - STATION 71,WESTBROOK,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.68088991,-70.37167507
S-72,PRESUMPSCOT RIVER - STATION 72,WESTBROOK,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.70238487,-70.32570180
S-73,SHEEPSCOT RIVER - STATION 73,WHITEFIELD,LINCOLN,MAINE COASTAL,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,44.25797266,-69.55158352
S-74,SHEEPSCOT RIVER - STATION 74,WHITEFIELD,LINCOLN,MAINE COASTAL,STREAM/RIVER BIOMONITORING,ALGAE,44.22318568,-69.59334091
S-74,SHEEPSCOT RIVER - STATION 74,WHITEFIELD,LINCOLN,MAINE COASTAL,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,44.22318568,-69.59334091
S-75,SHEEPSCOT RIVER - STATION 75,WHITEFIELD,LINCOLN,MAINE COASTAL,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,44.17039200,-69.62444600
S-76,THOMPSON LAKE OUTLET - STATION 76,OXFORD,OXFORD,ANDROSCOGGIN,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,44.13127369,-70.49528024
