Station Number,Sample Type,Sample ID,Sample Date,Statutory Class,Attained Class,Report,Final Determination
S-66,MACROINVERTEBRATE,84,8/29/1984,B,No,Report,C
S-66,MACROINVERTEBRATE,371,8/27/1992,B,Yes,,B
S-67,MACROINVERTEBRATE,85,8/29/1984,B,Yes,Report,B
S-67,MACROINVERTEBRATE,157,8/21/1985,B,No,,C
S-67,MACROINVERTEBRATE,370,8/27/1992,B,Yes,,B
S-69,MACROINVERTEBRATE,87,8/30/1984,B,Yes,Report,B
S-69,MACROINVERTEBRATE,473,8/31/1994,B,Yes,,B
S-70,MACROINVERTEBRATE,88,8/30/1984,B,No,Report,C
S-70,MACROINVERTEBRATE,474,8/31/1994,B,Yes,,B
S-70,MACROINVERTEBRATE,2355,8/10/2015,B,Yes,View,A
S-71,MACROINVERTEBRATE,89,9/4/1984,B,No,Report,C
S-71,MACROINVERTEBRATE,265,8/28/1989,B,No,,C
S-71,MACROINVERTEBRATE,509,8/24/1995,B,No,,NA
S-72,MACROINVERTEBRATE,90,9/4/1984,C,No,Report,NA
S-72,MACROINVERTEBRATE,487,9/13/1994,C,No,,NA
S-72,MACROINVERTEBRATE,510,8/24/1995,C,No,,NA
S-72,MACROINVERTEBRATE,588,9/19/1996,C,No,,NA
S-72,MACROINVERTEBRATE,1501,9/1/2005,C,Yes,,C
S-72,MACROINVERTEBRATE,1929,8/16/2010,C,Yes,View,C
S-72,MACROINVERTEBRATE,2372,8/17/2015,C,Yes,View,B
S-141,MACROINVERTEBRATE,307,8/9/1991,B,Yes,Report,A
S-141,MACROINVERTEBRATE,374,8/27/1992,B,Yes,,A
S-141,MACROINVERTEBRATE,783,8/17/1999,B,Yes,,A
S-141,MACROINVERTEBRATE,1937,8/18/2010,B,Yes,View,A
S-141,MACROINVERTEBRATE,2351,8/6/2015,B,Yes,View,A
S-142,MACROINVERTEBRATE,308,8/9/1991,B,Yes,Report,B
S-142,MACROINVERTEBRATE,375,8/27/1992,B,No,,C
S-142,MACROINVERTEBRATE,784,8/17/1999,B,Yes,,B
S-142,MACROINVERTEBRATE,1938,8/18/2010,B,Yes,View,A
S-142,MACROINVERTEBRATE,2352,8/6/2015,B,Yes,View,A
S-143,ALGAE,SA-143-2001,7/20/2001,--,--,Report,
S-143,ALGAE,SA-143-2001P (66),7/20/2001,--,--,,
S-143,MACROINVERTEBRATE,314,8/30/1991,B,No,Report,C
S-143,MACROINVERTEBRATE,520,9/6/1995,B,Yes,,B
