FID,FID_1,Station_Nu,Station,Town,County,Major_Drai,Site_Type,Sample_Typ,Latitude,Longitude,PctImperv
0,2,S-69,NORTH BRANCH LITTLE RIVER - STATION 69,STANDISH,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.739245080000003,-70.524498530000002,0.0550000
1,3,S-70,NORTH BRANCH LITTLE RIVER - STATION 70,STANDISH,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.740078939999997,-70.521720889999997,0.0550000
2,87,S-655,MUDDY RIVER - STATION 655,NAPLES,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.949903319999997,-70.628226789999999,0.0050000
3,98,S-759,PISCATAQUA RIVER - STATION 759,FALMOUTH,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.737639170000001,-70.292731689999997,0.1190000
4,91,S-722,CROOKED RIVER - STATION 722,ALBANY TWP,OXFORD,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,44.268946939999999,-70.785436079999997,0.0090000
5,13,S-158,CROOKED RIVER - STATION 158,WATERFORD,OXFORD,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,44.231694500000003,-70.761018519999993,0.0150000
6,88,S-656,NORTHWEST RIVER - STATION 656,SEBAGO,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.862397700000002,-70.642222529999998,0.0300000
7,92,S-723,CROOKED RIVER - STATION 723,HARRISON,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,44.153144779999998,-70.602869080000005,0.0130000
8,11,S-156,ROYAL RIVER - STATION 156,NEW GLOUCESTER,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.993424990000001,-70.268411740000005,0.0240000
9,12,S-157,ROYAL RIVER - STATION 157,NEW GLOUCESTER,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.981186979999997,-70.265609370000007,0.0240000
10,24,S-237,CROOKED RIVER - STATION 237,NAPLES,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.998700759999998,-70.572092859999998,0.0320000
11,20,S-225,ROYAL RIVER - STATION 225,NEW GLOUCESTER,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.922612999999998,-70.262411999999998,0.0320000
12,23,S-228,COLLYER BROOK - STATION 228,GRAY,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.891939839999999,-70.277628829999998,0.0320000
13,99,S-760,ROYAL RIVER - STATION 760,GRAY,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.900078100000002,-70.272606260000003,0.0320000
14,100,S-761,ROYAL RIVER - STATION 761,GRAY,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.899216600000003,-70.274076870000002,0.0320000
15,21,S-226,ROYAL RIVER - STATION 226,GRAY,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.886060880000002,-70.279652279999993,0.0290000
16,103,S-799,ROYAL RIVER - STATION 799,GRAY,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.890750250000004,-70.277130580000005,0.0290000
17,96,S-757,EAST BRANCH PISCATAQUA RIVER - STATION 757,FALMOUTH,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.760777019999999,-70.262119560000002,0.0520000
18,86,S-654,CROOKED RIVER - STATION 654,NAPLES,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.961431910000002,-70.567526639999997,0.0470000
19,18,S-223,PRESUMPSCOT RIVER - STATION 223,WINDHAM,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.829075910000000,-70.448285850000005,0.0550000
20,70,S-462,PRESUMPSCOT RIVER - STATION 462,STANDISH,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.831088100000002,-70.451124419999999,0.0550000
21,55,S-394,PLEASANT RIVER (PRESUMPSCOT) - STATION 394,GRAY,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.864130770000003,-70.344451690000000,0.0450000
22,27,S-242,ROYAL RIVER - STATION 242,YARMOUTH,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.800931640000002,-70.180002049999999,0.1870000
23,10,S-155,PLEASANT RIVER (PRESUMPSCOT) - STATION 155,WINDHAM,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.786726840000000,-70.420644370000005,0.0650000
24,19,S-224,PRESUMPSCOT RIVER - STATION 224,WINDHAM,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.725609800000001,-70.417877880000006,0.1210000
25,42,S-329,PRESUMPSCOT RIVER - STATION 329,WINDHAM,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.733670990000000,-70.423809079999998,0.1210000
26,31,S-296,PRESUMPSCOT RIVER - STATION 296,WESTBROOK,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.687807999999997,-70.342983000000004,0.3150000
27,68,S-456,PRESUMPSCOT RIVER - STATION 456,WESTBROOK,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.690690549999999,-70.334114040000003,0.3150000
28,48,S-380,MILL BROOK - STATION 380,WESTBROOK,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.741065700000000,-70.353607030000006,0.0620000
29,49,S-381,MILL BROOK - STATION 381,WESTBROOK,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.702838260000000,-70.339294030000005,0.1320000
30,97,S-758,PISCATAQUA RIVER - STATION 758,CUMBERLAND,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.813227140000002,-70.302089899999999,0.0770000
31,58,S-409,LONG CREEK (BLANCHETTE BROOK) - STATION 409,WESTBROOK,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.648167819999998,-70.350249160000004,0.2260000
32,60,S-411,LONG CREEK - STATION 411,WESTBROOK,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.647374800000001,-70.351564339999996,0.1140000
33,111,S-1015,LONG CREEK - STATION 1015,SOUTH PORTLAND,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.643639999999998,-70.353189999999998,0.1140000
34,59,S-410,LONG CREEK - STATION 410,SOUTH PORTLAND,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.639837909999997,-70.332005899999999,0.3260000
35,64,S-415,LONG CREEK - STATION 415,SOUTH PORTLAND,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.634958359999999,-70.326852119999998,0.3260000
36,81,S-570,LONG CREEK - STATION 570,SOUTH PORTLAND,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.643943620000002,-70.335480169999997,0.3260000
37,94,S-752,LONG CREEK - STATION 752,SOUTH PORTLAND,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.636639330000001,-70.329030709999998,0.3260000
38,63,S-414,LONG CREEK - STATION 414,SOUTH PORTLAND,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.635416550000002,-70.326260210000001,0.4260000
39,57,S-408,SOUTH BRANCH LONG CREEK - STATION 408,SOUTH PORTLAND,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.632774540000000,-70.327454720000006,0.5760000
40,82,S-581,SOUTH BRANCH LONG CREEK - STATION 581,SOUTH PORTLAND,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.632780089999997,-70.325602230000001,0.5760000
41,95,S-753,SOUTH BRANCH LONG CREEK - STATION 753,SOUTH PORTLAND,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.633654700000001,-70.321401030000004,0.5760000
42,14,S-218,RED BROOK - STATION 218,SCARBOROUGH,CUMBERLAND,SACO,STREAM/RIVER BIOMONITORING,MACROINVERTEBRATE,43.636690320000000,-70.377608980000005,0.1360000
