Station Number,Sample Type,Sample ID,Sample Date,Statutory Class,Final Determination,Attained Class,Report
S-66,MACROINVERTEBRATE,371,8/27/1992,B,B,Yes,
S-67,MACROINVERTEBRATE,370,8/27/1992,B,B,Yes,
S-69,MACROINVERTEBRATE,473,8/31/1994,B,B,Yes,
S-70,MACROINVERTEBRATE,2355,8/10/2015,B,A,Yes,View
S-71,MACROINVERTEBRATE,509,8/24/1995,B,NA,No,
S-72,MACROINVERTEBRATE,2372,8/17/2015,C,B,Yes,View
S-141,MACROINVERTEBRATE,2351,8/6/2015,B,A,Yes,View
S-142,MACROINVERTEBRATE,2352,8/6/2015,B,A,Yes,View
S-155,MACROINVERTEBRATE,1949,8/19/2010,B,B,Yes,View
S-156,MACROINVERTEBRATE,334,9/13/1991,B,B,Yes,Report
S-157,MACROINVERTEBRATE,335,9/13/1991,B,B,Yes,Report
S-158,MACROINVERTEBRATE,2640,9/20/2017,AA,A,Yes,
S-218,MACROINVERTEBRATE,857,9/3/1999,C,C,Yes,
S-219,MACROINVERTEBRATE,2395,8/26/2015,C,NA,No,View
S-220,MACROINVERTEBRATE,2354,8/6/2015,B,B,Yes,View
S-221,MACROINVERTEBRATE,2359,8/11/2015,B,B,Yes,View
S-223,MACROINVERTEBRATE,485,9/13/1994,A,B,No,Report
S-224,MACROINVERTEBRATE,486,9/13/1994,B,B,Yes,Report
S-225,MACROINVERTEBRATE,489,10/3/1994,B,B,Yes,Report
S-226,MACROINVERTEBRATE,490,10/3/1994,B,A,Yes,Report
S-227,MACROINVERTEBRATE,491,10/3/1994,B,A,Yes,Report
S-228,MACROINVERTEBRATE,1950,8/19/2010,A,A,Yes,View
S-228,ALGAE,SA-228-2005R (417),7/12/2005,A,NA,No,
S-237,MACROINVERTEBRATE,2636,9/19/2017,AA,A,Yes,
S-237,ALGAE,SA-237-2015R (1542),7/27/2015,AA,A,Yes,
S-238,MACROINVERTEBRATE,266,8/28/1989,C,NA,No,Report
S-240,MACROINVERTEBRATE,1349,8/22/2005,B,C,No,
S-242,MACROINVERTEBRATE,381,9/4/1992,B,B,Yes,Report
S-256,MACROINVERTEBRATE,1260,8/25/2003,C,A,Yes,
S-257,MACROINVERTEBRATE,2373,8/17/2015,C,NA,No,View
S-257,ALGAE,SA-257-2015R (1513),6/30/2015,C,C,Yes,
S-295,MACROINVERTEBRATE,586,9/19/1996,C,C,Yes,Report
S-296,MACROINVERTEBRATE,587,9/19/1996,C,NA,No,Report
S-301,MACROINVERTEBRATE,641,9/8/1997,C,NA,No,Report
S-302,MACROINVERTEBRATE,1396,8/23/2004,C,NA,No,
S-302,ALGAE,SA-302-2004R (266),7/6/2004,C,NA,No,
S-303,MACROINVERTEBRATE,1920,8/11/2010,A,B,No,View
S-304,ALGAE,SA-304-2015R (1506),6/25/2015,A,C,No,
S-316,MACROINVERTEBRATE,809,8/25/1999,B,A,Yes,
S-317,MACROINVERTEBRATE,2353,8/6/2015,B,A,Yes,View
S-325,MACROINVERTEBRATE,666,9/6/1997,C,C,Yes,Report
S-326,MACROINVERTEBRATE,667,9/6/1997,C,C,Yes,Report
S-327,MACROINVERTEBRATE,668,9/6/1997,C,C,Yes,Report
S-328,MACROINVERTEBRATE,669,9/6/1997,C,C,Yes,Report
S-329,MACROINVERTEBRATE,670,9/6/1997,C,C,Yes,Report
S-330,MACROINVERTEBRATE,2346,8/5/2015,B,NA,No,View
S-331,MACROINVERTEBRATE,1298,9/30/2003,B,B,Yes,
S-332,MACROINVERTEBRATE,871,9/22/1999,B,NA,No,
S-348,MACROINVERTEBRATE,720,8/24/1998,B,C,No,Report
S-379,MACROINVERTEBRATE,785,8/17/1999,B,C,No,Report
S-380,MACROINVERTEBRATE,786,8/18/1999,B,C,No,Report
S-381,MACROINVERTEBRATE,787,8/18/1999,B,B,Yes,Report
S-382,MACROINVERTEBRATE,1352,8/22/2005,B,C,No,
S-383,MACROINVERTEBRATE,1353,8/22/2005,B,A,Yes,
S-385,MACROINVERTEBRATE,794,8/20/1999,B,C,No,Report
S-386,MACROINVERTEBRATE,795,8/20/1999,B,C,No,Report
S-387,MACROINVERTEBRATE,1258,8/25/2003,C,NA,No,
S-394,MACROINVERTEBRATE,1948,8/19/2010,B,B,Yes,View
S-394,ALGAE,SA-394-2010R (963),7/6/2010,B,B,Yes,
S-395,MACROINVERTEBRATE,813,8/25/1999,B,B,Yes,Report
S-408,MACROINVERTEBRATE,2400,8/27/2015,C,NA,No,View
S-409,MACROINVERTEBRATE,2711,7/9/2018,B,NA,No,
S-410,MACROINVERTEBRATE,852,8/31/1999,C,C,Yes,Report
S-411,MACROINVERTEBRATE,2710,7/9/2018,B,NA,No,
S-412,MACROINVERTEBRATE,2396,8/26/2015,C,NA,No,View
S-414,MACROINVERTEBRATE,2709,7/9/2018,C,NA,No,
S-415,MACROINVERTEBRATE,2708,7/9/2018,C,NA,No,
S-449,MACROINVERTEBRATE,1939,8/18/2010,B,I,Indeterminate,View
S-454,MACROINVERTEBRATE,916,8/30/2000,C,NA,No,Report
S-456,MACROINVERTEBRATE,937,8/8/2000,C,B,Yes,Report
S-457,MACROINVERTEBRATE,2349,8/5/2015,B,C,No,View
S-462,MACROINVERTEBRATE,923,8/17/2000,A,B,No,Report
S-470,MACROINVERTEBRATE,957,8/10/2000,B,A,Yes,Report
S-471,MACROINVERTEBRATE,958,8/10/2000,B,A,Yes,Report
S-472,MACROINVERTEBRATE,959,8/10/2000,B,C,No,Report
S-473,MACROINVERTEBRATE,960,8/10/2000,B,C,No,Report
S-474,MACROINVERTEBRATE,2356,8/10/2015,B,NA,No,View
S-474,ALGAE,SA-474-2015R (1515),7/1/2015,B,C,No,
S-477,MACROINVERTEBRATE,996,8/10/2000,A,A,Yes,Report
S-496,MACROINVERTEBRATE,2139,8/29/2012,B,I,Indeterminate,View
S-497,MACROINVERTEBRATE,2692,8/30/2018,B,NA,No,
S-498,ALGAE,SA-498-2010R (970),7/8/2010,B,NA,No,
S-562,ALGAE,SA-562-2015R (1514),7/1/2015,B,C,No,
S-638,ALGAE,SA-638-2004R (265),7/6/2004,C,NA,No,
S-639,MACROINVERTEBRATE,1179,8/28/2002,B,NA,No,Report
S-640,MACROINVERTEBRATE,1180,8/28/2002,B,I,Indeterminate,Report
S-654,MACROINVERTEBRATE,1216,9/19/2001,AA,A,Yes,Report
S-655,MACROINVERTEBRATE,2637,9/19/2017,A,A,Yes,
S-656,ALGAE,SA-656-2015R (1505),6/22/2015,A,A,Yes,
S-675,ALGAE,SA-675-2015R (1544),7/28/2015,C,C,Yes,
S-692,MACROINVERTEBRATE,1256,8/25/2003,B,C,No,Report
S-722,MACROINVERTEBRATE,2639,9/20/2017,AA,A,Yes,
S-723,MACROINVERTEBRATE,2641,9/20/2017,AA,A,Yes,
S-751,MACROINVERTEBRATE,1682,8/27/2007,B,NA,No,View
S-752,MACROINVERTEBRATE,2706,7/9/2018,C,NA,No,
S-753,MACROINVERTEBRATE,2705,8/7/2018,C,NA,No,
S-757,MACROINVERTEBRATE,1405,8/25/2004,B,C,No,Report
S-758,MACROINVERTEBRATE,2361,8/11/2015,B,B,Yes,View
