Station Number,Sample ID,Sample Date,Statutory Class,Attained Class,Report,Final Determination
S-1,SA-1-2002,8/15/2002,--,--,Report,
S-1,SA-1-2002P (187),8/15/2002,--,--,,
S-1,SA-1-2002R (186),8/15/2002,B,No,,NA
S-1,SA-1-2004,7/28/2004,--,--,,
S-1,SA-1-2004R (300),7/28/2004,B,No,,C
S-1,SA-1-2005VB,7/28/2005,--,--,,
S-1,SA-1-2005VB2,8/24/2005,--,--,,
S-1,SA-1-2011,7/18/2011,--,--,,
S-1,SA-1-2011R (1085),7/18/2011,B,No,,C
S-1,SA-1-2017,7/25/2017,--,--,,
S-1,SA-1-2017R (1708),7/25/2017,--,--,,
S-1,1,8/22/1983,B,Yes,Report,B
S-1,331,9/11/1991,B,Yes,,A
S-1,754,9/24/1998,B,Yes,,A
S-1,953,8/17/1999,B,Yes,,A
S-1,967,8/24/2000,B,Yes,,A
S-1,1912,8/19/2004,B,Yes,,B
S-2,2,8/24/1983,B,Yes,Report,B
S-2,330,9/11/1991,B,Yes,,A
S-2,943,8/13/1999,B,Yes,,A
S-2,972,8/24/2000,B,Yes,,A
S-2,1822,8/18/2004,B,Yes,,B
S-3,SA-3-2009,7/20/2009,--,--,Report,
S-3,SA-3-2009R (882),7/20/2009,B,No,,C
S-3,SA-3-2014,7/31/2014,--,--,,
S-3,SA-3-2014 (1419),7/31/2014,--,--,,
S-3,SA-3-2014R (1419),7/31/2014,B,Yes,,B
S-3,3,8/23/1983,B,No,Report,C
S-3,456,8/25/1994,B,Yes,,B
S-3,775,8/17/1999,B,Yes,,B
S-3,1842,8/17/2009,B,No,View,C
S-3,2284,8/20/2014,B,Yes,View,B
S-4,4,8/23/1983,A,Yes,Report,A
S-5,6,8/24/1983,B,Yes,Report,B
S-6,7,8/24/1983,C,Yes,Report,C
S-7,8,8/24/1983,C,Yes,Report,A
S-8,SA-8-2004,7/20/2004,--,--,Report,
S-8,SA-8-2004R (284),7/20/2004,A,Yes,,A
S-8,SA-8-2009,7/21/2009,--,--,,
S-8,SA-8-2009R (893),7/21/2009,A,Yes,,A
S-8,9,8/23/1983,A,Yes,Report,A
S-8,168,8/29/1985,A,Yes,,A
S-8,609,9/16/1994,A,Yes,,A
